city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Hřebeč,50.1360,14.1645,Czechia,CZ,Středočeský Kraj,,2092,2092
Zdounky,49.2277,17.3190,Czechia,CZ,Zlínský Kraj,,2092,2092
Holubice,50.2032,14.2929,Czechia,CZ,Středočeský Kraj,,2089,2089
Nový Knín,49.7881,14.2936,Czechia,CZ,Středočeský Kraj,,2089,2089
Pyšely,49.8769,14.6772,Czechia,CZ,Středočeský Kraj,,2086,2086
Proseč,49.8059,16.1163,Czechia,CZ,Pardubický Kraj,,2086,2086
Šitbořice,49.0144,16.7798,Czechia,CZ,Jihomoravský Kraj,,2083,2083
Hrochŭv Týnec,49.9595,15.9106,Czechia,CZ,Pardubický Kraj,,2082,2082
Horní Jelení,50.0490,16.0840,Czechia,CZ,Pardubický Kraj,,2082,2082
Horní Planá,48.7674,14.0326,Czechia,CZ,Jihočeský Kraj,,2079,2079
Dolní Roveň,50.0293,15.9678,Czechia,CZ,Pardubický Kraj,,2076,2076
Štěchovice,49.8512,14.4055,Czechia,CZ,Středočeský Kraj,,2075,2075
Slavkov,49.9218,17.8365,Czechia,CZ,Moravskoslezský Kraj,,2071,2071
Nýdek,49.6561,18.7569,Czechia,CZ,Moravskoslezský Kraj,,2071,2071
Moravský Písek,48.9902,17.3327,Czechia,CZ,Jihomoravský Kraj,,2070,2070
Velká Polom,49.8636,18.0934,Czechia,CZ,Moravskoslezský Kraj,,2065,2065
Brandýsek,50.1893,14.1621,Czechia,CZ,Středočeský Kraj,,2063,2063
Václavovice u Frýdku,49.7553,18.3722,Czechia,CZ,Moravskoslezský Kraj,,2062,2062
Hroznětín,50.3095,12.8719,Czechia,CZ,Karlovarský Kraj,,2061,2061
Svoboda nad Úpou,50.6260,15.8166,Czechia,CZ,Královéhradecký Kraj,,2057,2057
Okříšky,49.2454,15.7696,Czechia,CZ,Vysočina,,2053,2053
Jinočany,50.0328,14.2687,Czechia,CZ,Středočeský Kraj,,2048,2048
Jablŭnka,49.3835,17.9502,Czechia,CZ,Zlínský Kraj,,2048,2048
Jistebnice,49.4856,14.5276,Czechia,CZ,Jihočeský Kraj,,2048,2048
Pěnčín,50.6877,15.2360,Czechia,CZ,Liberecký Kraj,,2040,2040
Lešná,49.5205,17.9301,Czechia,CZ,Zlínský Kraj,,2038,2038
Krhová,49.4917,18.0003,Czechia,CZ,Zlínský Kraj,,2037,2037
Troubky,49.4322,17.3492,Czechia,CZ,Olomoucký Kraj,,2031,2031
Kobylí,48.9329,16.8916,Czechia,CZ,Jihomoravský Kraj,,2026,2026
Hýskov,49.9908,14.0506,Czechia,CZ,Středočeský Kraj,,2022,2022
Hrob,50.6593,13.7269,Czechia,CZ,Ústecký Kraj,,2017,2017
Polešovice,49.0339,17.3406,Czechia,CZ,Zlínský Kraj,,2013,2013
Zásmuky,49.9548,15.0306,Czechia,CZ,Středočeský Kraj,,2007,2007
Škvorec,50.0469,14.7305,Czechia,CZ,Středočeský Kraj,,2006,2006
Drásov,49.3319,16.4780,Czechia,CZ,Jihomoravský Kraj,,2002,2002
Skalná,50.1704,12.3615,Czechia,CZ,Karlovarský Kraj,,2001,2001
Dolní Dlouhá Loučka,49.8163,17.1797,Czechia,CZ,Olomoucký Kraj,,2000,2000
Měšice,50.1981,14.5200,Czechia,CZ,Středočeský Kraj,,1999,1999
Rokytnice v Orlických Horách,50.1648,16.4657,Czechia,CZ,Královéhradecký Kraj,,1995,1995
Štíty,49.9612,16.7658,Czechia,CZ,Olomoucký Kraj,,1994,1994
Halenkovice,49.1710,17.4716,Czechia,CZ,Zlínský Kraj,,1993,1993
Veřovice,49.5392,18.1143,Czechia,CZ,Moravskoslezský Kraj,,1987,1987
Dalovice,50.2479,12.8959,Czechia,CZ,Karlovarský Kraj,,1986,1986
Kamenice,49.3666,15.7803,Czechia,CZ,Vysočina,,1978,1978
Velký Šenov,50.9909,14.3744,Czechia,CZ,Ústecký Kraj,,1977,1977
Němčice nad Hanou,49.3418,17.2060,Czechia,CZ,Olomoucký Kraj,,1975,1975
Štoky,49.5025,15.5887,Czechia,CZ,Vysočina,,1973,1973
Loděnice,49.9949,14.1579,Czechia,CZ,Středočeský Kraj,,1970,1970
Plesná,50.2208,12.3468,Czechia,CZ,Karlovarský Kraj,,1969,1969
Janovice,49.6214,18.4060,Czechia,CZ,Moravskoslezský Kraj,,1967,1967
Měřín,49.3933,15.8838,Czechia,CZ,Vysočina,,1966,1966
Třebenice,50.4764,13.9901,Czechia,CZ,Ústecký Kraj,,1965,1965
Raškovice,49.6197,18.4729,Czechia,CZ,Moravskoslezský Kraj,,1963,1963
České Meziříčí,50.2868,16.0444,Czechia,CZ,Královéhradecký Kraj,,1962,1962
Dolní Újezd,49.8257,16.2547,Czechia,CZ,Pardubický Kraj,,1961,1961
