city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Komjatice,48.1583,18.1667,Slovakia,SK,Nitriansky,,4315,4315
Močenok,48.2333,17.9333,Slovakia,SK,Nitriansky,,4305,4305
Turany,49.1167,19.0333,Slovakia,SK,Žilinský,,4275,4275
Medzev,48.7003,20.8928,Slovakia,SK,Košický,,4261,4261
Cífer,48.3156,17.4950,Slovakia,SK,Trnavský,,4260,4260
Palárikovo,48.0433,18.0733,Slovakia,SK,Nitriansky,,4243,4243
Šoporňa,48.2531,17.8144,Slovakia,SK,Trnavský,,4228,4228
Teplička nad Váhom,49.2239,18.7992,Slovakia,SK,Žilinský,,4217,4217
Nováky,48.7167,18.5333,Slovakia,SK,Nitriansky,,4215,4215
Trenčianska Teplá,48.9333,18.1167,Slovakia,SK,Nitriansky,,4211,4211
Veľké Zálužie,48.3094,17.9389,Slovakia,SK,Nitriansky,,4208,4208
Trenčianske Teplice,48.9106,18.1661,Slovakia,SK,Nitriansky,,4177,4177
Tisovec,48.6806,19.9456,Slovakia,SK,Banskobystrický,,4168,4168
Leopoldov,48.4464,17.7681,Slovakia,SK,Trnavský,,4161,4161
Giraltovce,49.1117,21.5167,Slovakia,SK,Prešovský,,4153,4153
Cabaj-Čápor,48.2500,18.0333,Slovakia,SK,Nitriansky,,4118,4118
Bošany,48.5806,18.2472,Slovakia,SK,Nitriansky,,4080,4080
Terchová,49.2589,19.0294,Slovakia,SK,Žilinský,,4078,4078
Vysoké Tatry,49.1419,20.2231,Slovakia,SK,Prešovský,,4070,4070
Štiavnik,49.2431,18.4664,Slovakia,SK,Žilinský,,4064,4064
Kanianka,48.8153,18.5864,Slovakia,SK,Nitriansky,,4050,4050
Rovinka,48.0978,17.2347,Slovakia,SK,Bratislavský,,4030,4030
Spišské Podhradie,48.9989,20.7531,Slovakia,SK,Prešovský,,4026,4026
Lednické Rovne,49.0689,18.2878,Slovakia,SK,Nitriansky,,4011,4011
Kúty,48.6589,17.0194,Slovakia,SK,Trnavský,,4006,4006
Borský Mikuláš,48.6278,17.2128,Slovakia,SK,Trnavský,,3994,3994
